,Date,Open,High,Low,Close,Adj Close,Volume
55,"Mar 28, 2024",85.95,87.1,85.75,86.63,86.63,8930
56,"Mar 27, 2024",85.9,86.45,85.78,86.1,86.1,6754
57,"Mar 26, 2024",85.7,86.4,85.45,85.57,85.57,7986
58,"Mar 25, 2024",84.6,85.75,84.4,85.15,85.15,8074
59,"Mar 22, 2024",84.93,85.25,84.13,84.57,84.57,7967
60,"Mar 21, 2024",85.3,85.63,84.53,84.9,84.9,9918
61,"Mar 20, 2024",86.15,86.25,85.18,85.3,85.3,9006
62,"Mar 19, 2024",86.5,86.7,85.25,85.82,85.82,16578
63,"Mar 18, 2024",86.7,87.32,86.32,86.82,86.82,12913
64,"Mar 15, 2024",85.25,87.53,84.95,86.93,86.93,24644
65,"Mar 14, 2024",84.8,85.3,84.35,85.03,85.03,13104
66,"Mar 13, 2024",85.0,85.03,83.93,84.88,84.88,27874
67,"Mar 12, 2024",83.53,85.57,83.28,85.35,85.35,38030
68,"Mar 11, 2024",84.7,84.93,83.15,83.28,83.28,36700
69,"Mar 8, 2024",84.5,85.1,84.1,84.38,84.38,30285
70,"Mar 7, 2024",85.35,85.45,84.38,84.53,84.53,27601
71,"Mar 6, 2024",84.85,85.2,83.88,85.0,85.0,28829
72,"Mar 5, 2024",86.28,86.35,84.63,85.18,85.18,31663
73,"Mar 4, 2024",88.1,88.1,86.15,86.28,86.28,30218
74,"Mar 1, 2024",86.63,88.25,85.65,88.07,88.07,27459
75,"Feb 29, 2024",86.0,87.13,85.88,86.63,86.63,16795
76,"Feb 28, 2024",86.53,87.2,85.75,86.0,86.0,23435
77,"Feb 27, 2024",86.1,86.78,85.8,85.9,85.9,17744
78,"Feb 26, 2024",86.82,87.05,85.53,86.28,86.28,26615
79,"Feb 23, 2024",87.85,88.32,87.05,87.2,87.2,19514
80,"Feb 22, 2024",85.93,88.9,85.88,87.2,87.2,36736
81,"Feb 21, 2024",85.43,86.3,85.35,85.97,85.97,20383
82,"Feb 20, 2024",86.22,87.1,85.43,85.68,85.68,25390
83,"Feb 16, 2024",85.6,85.65,84.53,85.22,85.22,14947
84,"Feb 15, 2024",85.07,85.78,84.65,85.0,85.0,28272
85,"Feb 14, 2024",74.5,75.22,74.47,75.18,75.18,34223
86,"Feb 13, 2024",74.03,74.38,73.95,74.22,74.22,3844
87,"Feb 12, 2024",73.6,73.9,73.15,73.57,73.57,5257
88,"Feb 9, 2024",73.65,73.9,73.5,73.68,73.68,4282
89,"Feb 8, 2024",73.38,73.63,73.07,73.3,73.3,7070
90,"Feb 7, 2024",73.9,74.5,73.28,73.38,73.38,9920
91,"Feb 6, 2024",74.15,74.25,73.22,73.47,73.47,11388
92,"Feb 5, 2024",75.3,75.3,74.28,74.4,74.4,9315
93,"Feb 2, 2024",75.88,76.07,75.32,75.45,75.45,7420
94,"Feb 1, 2024",76.15,76.68,75.7,75.8,75.8,9606
95,"Jan 31, 2024",75.45,76.6,75.35,76.35,76.35,6765
96,"Jan 30, 2024",74.85,76.32,74.85,75.85,75.85,11966
97,"Jan 29, 2024",74.75,75.3,74.32,75.28,75.28,7565
98,"Jan 26, 2024",73.85,75.32,73.8,74.93,74.93,7881
99,"Jan 25, 2024",74.0,74.6,73.63,74.3,74.3,10477
100,"Jan 24, 2024",72.6,73.95,72.5,73.9,73.9,13696
101,"Jan 23, 2024",71.4,73.82,70.72,73.3,73.3,19883
102,"Jan 22, 2024",70.8,71.1,70.28,70.93,70.93,11703
103,"Jan 19, 2024",71.25,71.25,70.63,70.75,70.75,10764
104,"Jan 18, 2024",71.9,71.95,70.63,71.1,71.1,18293
105,"Jan 17, 2024",71.03,71.68,70.03,71.45,71.45,23376
106,"Jan 16, 2024",71.4,71.85,70.13,70.78,70.78,24726
107,"Jan 12, 2024",71.93,72.6,71.28,71.9,71.9,26507
108,"Jan 11, 2024",72.2,73.05,71.43,72.6,72.6,33070
109,"Jan 10, 2024",71.3,72.22,70.5,72.07,72.07,29191
110,"Jan 9, 2024",70.35,73.05,70.28,71.88,71.88,43187
111,"Jan 8, 2024",69.75,70.78,68.95,70.6,70.6,33503
112,"Jan 5, 2024",68.78,70.5,68.0,70.0,70.0,28408
113,"Jan 4, 2024",65.45,69.05,65.0,69.05,69.05,36506
114,"Jan 3, 2024",65.78,66.2,64.57,65.3,65.3,27146
115,"Jan 2, 2024",68.95,68.95,64.68,65.32,65.32,37390
116,"Dec 29, 2023",68.65,69.07,67.65,67.97,67.97,16169
117,"Dec 28, 2023",69.88,70.47,68.03,68.45,68.45,21807
118,"Dec 27, 2023",69.0,70.2,68.43,69.88,69.88,21675
119,"Dec 26, 2023",70.9,70.9,69.03,69.3,69.3,18647
120,"Dec 22, 2023",70.57,71.97,70.3,71.35,71.35,14082
121,"Dec 21, 2023",70.47,71.25,70.13,70.65,70.65,14009
122,"Dec 20, 2023",69.95,70.93,69.75,70.22,70.22,13908
123,"Dec 19, 2023",70.82,71.65,70.25,70.55,70.55,17934
124,"Dec 18, 2023",71.57,72.45,71.0,71.57,71.57,20078
125,"Dec 15, 2023",70.55,71.97,69.47,71.9,71.9,26521
126,"Dec 14, 2023",67.75,67.85,67.15,67.18,67.18,28020
127,"Dec 13, 2023",67.5,68.0,67.25,67.93,67.93,3076
128,"Dec 12, 2023",68.18,68.25,67.7,67.82,67.82,4543
129,"Dec 11, 2023",68.45,68.78,67.97,68.25,68.25,4182
130,"Dec 8, 2023",67.5,68.5,67.25,68.43,68.43,4075
131,"Dec 7, 2023",66.9,67.7,66.72,67.55,67.55,5666
132,"Dec 6, 2023",67.15,67.72,66.85,67.55,67.55,7595
133,"Dec 5, 2023",67.75,67.85,66.78,66.82,66.82,10160
134,"Dec 4, 2023",68.6,69.0,67.82,68.05,68.05,7147
135,"Dec 1, 2023",68.93,69.1,68.38,68.6,68.6,5432
136,"Nov 30, 2023",68.97,69.4,68.68,68.78,68.78,7234
137,"Nov 29, 2023",69.1,69.25,68.22,68.97,68.97,6743
138,"Nov 28, 2023",68.3,69.38,68.03,68.93,68.93,10838
139,"Nov 27, 2023",67.57,68.47,67.18,67.88,67.88,9568
140,"Nov 24, 2023",68.1,68.22,67.0,67.57,67.57,11392
141,"Nov 22, 2023",68.22,68.63,68.05,68.28,68.28,8728
142,"Nov 21, 2023",70.0,70.28,68.13,68.18,68.18,22099
143,"Nov 20, 2023",71.07,71.72,70.13,70.35,70.35,13566
144,"Nov 17, 2023",71.05,71.75,70.78,70.97,70.97,14461
145,"Nov 16, 2023",71.03,71.6,70.1,71.47,71.47,20324
146,"Nov 15, 2023",72.25,72.38,70.93,71.05,71.05,20690
147,"Nov 14, 2023",72.8,73.0,72.05,72.3,72.3,18641
148,"Nov 13, 2023",72.55,73.8,71.53,73.35,73.35,34655
149,"Nov 10, 2023",71.78,73.13,70.63,71.9,71.9,24449
150,"Nov 9, 2023",71.85,72.5,71.1,71.45,71.45,28613
151,"Nov 8, 2023",72.35,72.85,71.25,71.5,71.5,37441
152,"Nov 7, 2023",73.0,74.28,72.43,72.9,72.9,35691
153,"Nov 6, 2023",71.75,72.82,71.63,72.4,72.4,20517
154,"Nov 3, 2023",73.3,73.63,71.53,71.75,71.75,29714
155,"Nov 2, 2023",70.38,73.38,70.07,73.28,73.28,34858
156,"Nov 1, 2023",71.25,72.07,69.95,70.15,70.15,25902
157,"Oct 31, 2023",71.7,71.8,70.6,71.72,71.72,19520
158,"Oct 30, 2023",70.93,71.93,70.25,71.18,71.18,27265
159,"Oct 27, 2023",68.3,70.63,68.22,70.47,70.47,22294
160,"Oct 26, 2023",67.7,68.7,67.43,68.63,68.63,17813
161,"Oct 25, 2023",66.5,68.15,65.72,67.5,67.5,22171
162,"Oct 24, 2023",66.5,67.4,65.95,66.38,66.38,24517
163,"Oct 23, 2023",66.03,67.1,65.68,66.18,66.18,21433
164,"Oct 20, 2023",67.57,67.68,65.4,66.0,66.0,21383
165,"Oct 19, 2023",68.35,69.45,67.32,68.0,68.0,19839
166,"Oct 18, 2023",67.55,68.2,67.32,68.03,68.03,17834
167,"Oct 17, 2023",69.0,70.07,67.3,67.55,67.55,23521
168,"Oct 16, 2023",69.0,69.9,68.13,68.3,68.3,20028
169,"Oct 13, 2023",82.0,82.1,81.85,81.93,81.93,14221
170,"Oct 12, 2023",82.15,82.2,81.95,82.1,82.1,1427
171,"Oct 11, 2023",81.85,82.43,81.85,82.15,82.15,2799
172,"Oct 10, 2023",82.3,82.5,81.9,81.95,81.95,5008
173,"Oct 9, 2023",81.75,82.18,81.32,81.97,81.97,4217
174,"Oct 6, 2023",80.35,82.4,80.25,82.32,82.32,7716
175,"Oct 5, 2023",80.0,80.97,80.0,80.9,80.9,6213
176,"Oct 4, 2023",79.8,80.4,79.3,79.93,79.93,5911
177,"Oct 3, 2023",79.95,80.35,79.6,79.97,79.97,8559
178,"Oct 2, 2023",80.2,80.47,79.6,79.85,79.85,10864
179,"Sep 29, 2023",82.6,82.6,80.2,80.2,80.2,11791
180,"Sep 28, 2023",82.0,84.13,82.0,83.95,83.95,9961
181,"Sep 27, 2023",81.63,82.75,81.5,82.13,82.13,5183
182,"Sep 26, 2023",81.88,82.47,81.4,81.63,81.63,5128
183,"Sep 25, 2023",81.75,81.93,81.05,81.53,81.53,6569
184,"Sep 22, 2023",82.95,83.25,81.2,81.53,81.53,15392
185,"Sep 21, 2023",84.9,84.95,82.72,82.95,82.95,12898
186,"Sep 20, 2023",84.97,86.13,84.28,85.78,85.78,12767
187,"Sep 19, 2023",83.5,85.22,83.38,84.85,84.85,12918
188,"Sep 18, 2023",82.95,83.8,81.88,83.25,83.25,15914
189,"Sep 15, 2023",83.43,84.03,82.95,83.13,83.13,13797
190,"Sep 14, 2023",83.32,84.22,82.82,83.35,83.35,26316
191,"Sep 13, 2023",85.38,85.6,83.68,83.97,83.97,24855
192,"Sep 12, 2023",83.18,85.35,82.97,85.28,85.28,37314
193,"Sep 11, 2023",82.1,83.3,81.8,82.55,82.55,28969
194,"Sep 8, 2023",82.8,82.82,80.95,81.53,81.53,32167
195,"Sep 7, 2023",82.6,83.78,82.43,82.82,82.82,19733
196,"Sep 6, 2023",84.1,84.13,81.57,81.88,81.88,21424
197,"Sep 5, 2023",83.72,84.72,83.05,83.18,83.18,23101
198,"Sep 1, 2023",82.8,83.38,81.97,83.05,83.05,16726
199,"Aug 31, 2023",83.6,84.25,81.72,82.55,82.55,27009
200,"Aug 30, 2023",80.07,83.82,79.53,83.6,83.6,25863
201,"Aug 29, 2023",81.97,82.2,80.55,80.72,80.72,21266
202,"Aug 28, 2023",78.9,81.93,78.85,81.85,81.85,18878
203,"Aug 25, 2023",81.25,83.13,79.13,79.82,79.82,28777
204,"Aug 24, 2023",78.35,80.8,78.25,80.47,80.47,26686
205,"Aug 23, 2023",79.4,80.35,78.43,78.55,78.55,24077
206,"Aug 22, 2023",80.55,81.22,79.18,79.57,79.57,19927
207,"Aug 21, 2023",82.47,82.47,80.4,80.63,80.63,17986
208,"Aug 18, 2023",79.82,82.35,79.82,82.13,82.13,19390
209,"Aug 17, 2023",78.28,80.07,78.28,79.15,79.15,16903
210,"Aug 16, 2023",78.4,78.72,77.75,78.18,78.18,14449
211,"Aug 15, 2023",79.0,79.88,77.95,78.2,78.2,20001
212,"Aug 14, 2023",101.85,102.25,101.78,102.25,102.25,21292
213,"Aug 11, 2023",101.75,102.15,101.6,102.1,102.1,1959
214,"Aug 10, 2023",101.4,101.8,101.3,101.72,101.72,4053
215,"Aug 9, 2023",101.9,102.0,101.32,101.65,101.65,5758
216,"Aug 8, 2023",102.13,102.65,101.7,102.1,102.1,4872
217,"Aug 7, 2023",101.3,101.8,100.65,101.53,101.53,4519
218,"Aug 4, 2023",101.3,101.7,100.5,101.03,101.03,7881
219,"Aug 3, 2023",101.88,101.95,100.78,101.0,101.0,8312
220,"Aug 2, 2023",103.82,104.13,102.25,102.68,102.68,7840
221,"Aug 1, 2023",104.4,104.95,103.38,103.68,103.68,6568
222,"Jul 31, 2023",102.7,104.28,102.18,104.13,104.13,4696
223,"Jul 28, 2023",102.32,103.43,102.32,103.2,103.2,6805
224,"Jul 27, 2023",101.65,102.15,101.4,102.03,102.03,4760
225,"Jul 26, 2023",100.78,102.0,100.3,101.65,101.65,7820
226,"Jul 25, 2023",101.05,101.97,100.55,101.65,101.65,9124
227,"Jul 24, 2023",101.0,101.4,99.95,100.1,100.1,8723
228,"Jul 21, 2023",101.18,101.88,100.4,100.68,100.68,8371
229,"Jul 20, 2023",98.5,101.85,98.5,100.63,100.63,15221
230,"Jul 19, 2023",96.65,98.32,96.03,97.93,97.93,10376
231,"Jul 18, 2023",95.0,97.65,94.93,96.28,96.28,23499
232,"Jul 17, 2023",102.43,102.5,102.32,102.35,102.35,23401
233,"Jul 14, 2023",102.0,102.32,101.63,101.97,101.97,2190
234,"Jul 13, 2023",101.5,102.38,101.5,102.35,102.35,3990
235,"Jul 12, 2023",101.75,102.47,100.75,101.18,101.18,5304
236,"Jul 11, 2023",99.0,101.47,99.0,101.28,101.28,5776
237,"Jul 10, 2023",99.5,99.8,98.55,98.8,98.8,4542
238,"Jul 7, 2023",99.55,99.65,98.1,99.0,99.0,6527
239,"Jul 6, 2023",101.3,103.7,99.8,100.05,100.05,9532
240,"Jul 5, 2023",98.5,101.78,98.5,101.28,101.28,9035
241,"Jul 3, 2023",95.7,98.35,95.53,97.82,97.82,7902
242,"Jun 30, 2023",94.75,96.13,94.5,95.65,95.65,4648
243,"Jun 29, 2023",93.9,95.6,93.63,95.45,95.45,5704
244,"Jun 28, 2023",94.3,94.93,93.95,94.28,94.28,6415
245,"Jun 27, 2023",93.82,94.75,92.63,94.13,94.13,5974
246,"Jun 26, 2023",92.2,94.78,92.2,93.4,93.4,7008
247,"Jun 23, 2023",91.9,93.75,90.8,91.28,91.28,7879
248,"Jun 22, 2023",94.75,95.5,91.7,91.85,91.85,11114
249,"Jun 21, 2023",94.5,96.3,94.3,94.75,94.75,8455
250,"Jun 20, 2023",94.5,95.97,94.25,95.85,95.85,14133
251,"Jun 16, 2023",92.1,93.72,92.1,92.85,92.85,16256
252,"Jun 15, 2023",92.5,94.3,91.18,91.93,91.93,20461
253,"Jun 14, 2023",87.32,87.45,87.05,87.2,87.2,18885
254,"Jun 13, 2023",87.1,87.43,86.8,87.13,87.13,3215
255,"Jun 12, 2023",87.5,87.9,87.1,87.18,87.18,4742
256,"Jun 9, 2023",87.35,88.0,87.2,87.88,87.88,4737
257,"Jun 8, 2023",87.25,87.88,86.7,87.68,87.68,5958
258,"Jun 7, 2023",87.5,88.3,87.13,87.7,87.7,6709
259,"Jun 6, 2023",86.07,88.53,86.07,88.3,88.3,11326
260,"Jun 5, 2023",85.5,86.05,84.82,85.32,85.32,7853
261,"Jun 2, 2023",84.0,87.0,83.85,86.72,86.72,12729
262,"Jun 1, 2023",83.03,84.03,82.15,83.55,83.55,10316
263,"May 31, 2023",81.32,82.93,81.32,82.57,82.57,10925
264,"May 30, 2023",76.57,80.82,76.55,80.82,80.82,11725
265,"May 26, 2023",77.25,77.72,75.45,76.07,76.07,9845
266,"May 25, 2023",79.15,79.25,77.03,77.65,77.65,14023
267,"May 24, 2023",80.68,81.47,79.4,79.8,79.8,11693
268,"May 23, 2023",81.82,82.18,79.78,80.68,80.68,16559
269,"May 22, 2023",83.45,83.82,81.68,81.82,81.82,15224
270,"May 19, 2023",84.53,84.93,82.82,83.03,83.03,19511
271,"May 18, 2023",84.88,85.75,83.35,85.3,85.3,22037
272,"May 17, 2023",87.6,87.82,84.32,84.88,84.88,29130
273,"May 16, 2023",86.1,87.35,86.07,87.2,87.2,23204
274,"May 15, 2023",84.05,86.95,83.82,86.15,86.15,22548
275,"May 12, 2023",76.63,77.13,76.63,76.63,76.63,20634
276,"May 11, 2023",76.68,76.95,76.55,76.6,76.6,821
277,"May 10, 2023",76.5,76.97,76.43,76.57,76.57,459
278,"May 9, 2023",75.65,76.45,75.65,76.28,76.28,584
279,"May 8, 2023",75.68,76.0,75.55,75.63,75.63,531
280,"May 5, 2023",76.7,76.7,75.3,75.53,75.53,1501
281,"May 4, 2023",77.75,77.82,77.0,77.07,77.07,576
282,"May 3, 2023",78.8,78.9,78.07,78.15,78.15,1004
283,"May 2, 2023",78.82,79.1,78.1,78.18,78.18,638
284,"May 1, 2023",79.4,79.55,78.8,79.3,79.3,438
285,"Apr 28, 2023",78.18,79.8,78.18,79.65,79.65,776
286,"Apr 27, 2023",78.4,78.57,77.35,78.13,78.13,350
287,"Apr 26, 2023",77.0,78.4,76.53,78.28,78.28,847
288,"Apr 25, 2023",77.18,77.5,76.82,76.88,76.88,532
289,"Apr 24, 2023",77.18,78.15,77.05,77.7,77.7,460
290,"Apr 21, 2023",77.25,77.5,76.57,77.03,77.03,748
291,"Apr 20, 2023",78.25,78.25,76.75,76.82,76.82,733
292,"Apr 19, 2023",78.72,79.43,77.9,78.78,78.78,569
293,"Apr 18, 2023",80.85,81.1,78.5,78.82,78.82,779
294,"Apr 17, 2023",71.85,71.93,71.75,71.88,71.88,600
295,"Apr 14, 2023",71.9,71.93,71.57,71.75,71.75,2379
296,"Apr 13, 2023",72.0,72.18,71.5,71.6,71.6,3983
297,"Apr 12, 2023",72.97,73.15,72.03,72.3,72.3,4094
298,"Apr 11, 2023",73.0,73.3,72.85,73.05,73.05,3726
299,"Apr 10, 2023",73.5,73.9,73.3,73.38,73.38,5022
300,"Apr 6, 2023",73.4,74.25,73.38,74.15,74.15,-
301,"Apr 5, 2023",71.97,74.3,71.97,73.4,73.4,11109
302,"Apr 4, 2023",74.53,75.25,72.1,72.22,72.22,8986
303,"Apr 3, 2023",74.7,75.25,74.13,74.53,74.53,6903
304,"Mar 31, 2023",76.0,76.4,75.0,75.25,75.25,7190
305,"Mar 30, 2023",76.78,77.3,76.35,76.45,76.45,4846
306,"Mar 29, 2023",77.15,77.6,76.65,76.78,76.78,5738
307,"Mar 28, 2023",78.0,78.25,77.4,77.75,77.75,6354
308,"Mar 27, 2023",77.22,79.95,77.18,78.63,78.63,10158
309,"Mar 24, 2023",75.75,77.53,75.63,77.18,77.18,9243
310,"Mar 23, 2023",76.07,76.45,75.13,75.75,75.75,9494
311,"Mar 22, 2023",77.1,77.5,75.95,76.07,76.07,11592
312,"Mar 21, 2023",77.57,78.1,77.0,77.05,77.05,12827
313,"Mar 20, 2023",78.7,79.03,77.43,77.78,77.78,21236
314,"Mar 17, 2023",79.85,80.75,78.3,79.88,79.88,28652
315,"Mar 16, 2023",83.5,83.75,79.1,79.45,79.45,43358
316,"Mar 15, 2023",85.2,85.4,83.57,83.75,83.75,30113
317,"Mar 14, 2023",86.22,86.32,85.03,85.4,85.4,22379
318,"Mar 13, 2023",86.72,87.43,85.75,86.22,86.22,29561
319,"Mar 10, 2023",85.0,87.5,85.0,87.45,87.45,37280
320,"Mar 9, 2023",85.2,86.32,84.18,85.07,85.07,33916
321,"Mar 8, 2023",84.47,86.18,84.22,85.75,85.75,34600
322,"Mar 7, 2023",83.82,84.88,83.2,84.8,84.8,33177
323,"Mar 6, 2023",84.1,84.97,83.3,83.47,83.47,22297
324,"Mar 3, 2023",83.78,85.07,83.53,84.55,84.55,19570
325,"Mar 2, 2023",85.5,85.88,83.63,83.85,83.85,24281
326,"Mar 1, 2023",84.82,85.35,84.07,84.95,84.95,26639
327,"Feb 28, 2023",85.03,85.68,84.22,85.18,85.18,20183
328,"Feb 27, 2023",85.95,86.88,84.47,84.72,84.72,23096
329,"Feb 24, 2023",87.1,87.3,85.68,86.03,86.03,17991
330,"Feb 23, 2023",86.45,86.65,85.38,86.2,86.2,20953
331,"Feb 22, 2023",88.13,88.32,86.18,86.55,86.55,30024
332,"Feb 21, 2023",86.25,89.88,86.25,89.1,89.1,37167
333,"Feb 17, 2023",85.88,87.1,85.2,85.28,85.28,20826
334,"Feb 16, 2023",85.95,86.22,85.1,85.78,85.78,16274
335,"Feb 15, 2023",86.68,87.35,85.85,86.5,86.5,14434
336,"Feb 14, 2023",75.75,75.82,75.65,75.68,75.68,23189
337,"Feb 13, 2023",75.8,75.95,75.7,75.82,75.82,3085
338,"Feb 10, 2023",75.8,76.07,75.7,75.88,75.88,1584
339,"Feb 9, 2023",75.68,76.2,75.53,75.82,75.82,3032
340,"Feb 8, 2023",74.97,76.2,74.93,75.93,75.93,5778
341,"Feb 7, 2023",75.18,75.57,74.9,75.38,75.38,4875
342,"Feb 6, 2023",74.78,75.63,74.47,75.05,75.05,11785
343,"Feb 3, 2023",75.35,75.9,74.88,75.03,75.03,5398
344,"Feb 2, 2023",74.35,75.63,74.35,75.35,75.35,6425
345,"Feb 1, 2023",74.75,75.13,73.55,73.97,73.97,9887
346,"Jan 31, 2023",75.15,75.28,74.6,74.88,74.88,4938
347,"Jan 30, 2023",75.63,75.82,75.07,75.15,75.15,5219
348,"Jan 27, 2023",76.97,77.07,75.82,75.88,75.88,5978
349,"Jan 26, 2023",76.72,77.43,75.6,77.03,77.03,10098
350,"Jan 25, 2023",77.15,77.35,76.3,76.8,76.8,6214
351,"Jan 24, 2023",78.0,78.1,76.43,77.1,77.1,10013
352,"Jan 23, 2023",77.85,78.2,77.07,77.57,77.57,7873
353,"Jan 20, 2023",77.15,78.55,76.9,77.82,77.82,11023
354,"Jan 19, 2023",77.18,77.65,76.4,76.65,76.65,15369
355,"Jan 18, 2023",77.75,78.5,77.13,77.32,77.32,20367
356,"Jan 17, 2023",78.82,79.9,77.88,78.45,78.45,19952
357,"Jan 13, 2023",78.55,79.4,77.68,78.65,78.65,24375
358,"Jan 12, 2023",79.1,80.07,77.57,78.75,78.75,24600
359,"Jan 11, 2023",79.8,80.15,78.82,79.3,79.3,25405
360,"Jan 10, 2023",80.18,80.6,79.35,79.8,79.8,26604
361,"Jan 9, 2023",80.35,81.63,79.7,80.8,80.8,31593
362,"Jan 6, 2023",82.32,82.35,80.13,80.28,80.28,28988
363,"Jan 5, 2023",83.55,83.97,81.6,82.53,82.53,29058
364,"Jan 4, 2023",84.88,86.03,83.47,84.07,84.07,25940
365,"Jan 3, 2023",87.43,87.97,84.6,85.07,85.07,27911
366,"Dec 30, 2022",88.68,88.68,87.25,87.7,87.7,14076
367,"Dec 29, 2022",89.78,90.5,88.5,88.68,88.68,14100
368,"Dec 28, 2022",90.47,91.47,90.22,90.8,90.8,18104
369,"Dec 27, 2022",87.7,91.6,87.7,91.47,91.47,29814
370,"Dec 23, 2022",88.45,89.2,87.1,87.82,87.82,11870
371,"Dec 22, 2022",88.28,89.32,86.88,89.05,89.05,22117
372,"Dec 21, 2022",83.9,88.88,83.9,88.4,88.4,28375
373,"Dec 20, 2022",85.25,85.55,84.0,84.25,84.25,14507
374,"Dec 19, 2022",84.97,86.55,84.82,85.7,85.7,13079
375,"Dec 16, 2022",81.65,86.28,81.65,85.78,85.78,22739
376,"Dec 15, 2022",83.1,83.3,81.53,81.65,81.65,20637
377,"Dec 14, 2022",82.55,82.57,82.15,82.32,82.32,15719
378,"Dec 13, 2022",81.9,82.55,81.78,82.4,82.4,2291
379,"Dec 12, 2022",81.82,82.7,81.68,81.95,81.95,1853
380,"Dec 9, 2022",81.53,81.88,81.15,81.57,81.57,2146
381,"Dec 8, 2022",82.1,82.1,81.5,82.0,82.0,3282
382,"Dec 7, 2022",82.82,83.18,82.32,82.38,82.38,4484
383,"Dec 6, 2022",81.53,82.9,81.15,82.28,82.28,10579
384,"Dec 5, 2022",82.82,82.95,81.72,82.07,82.07,4652
385,"Dec 2, 2022",82.88,83.15,82.35,82.43,82.43,5253
386,"Dec 1, 2022",82.97,83.5,82.32,83.13,83.13,8431
387,"Nov 30, 2022",81.0,83.22,80.95,82.9,82.9,8599
388,"Nov 29, 2022",81.18,81.65,80.75,81.07,81.07,9778
389,"Nov 28, 2022",83.5,83.57,80.55,80.6,80.6,24474
